Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Date,Period,Total sleep (min),Sleep efficiency,Deep sleep %,REM sleep %,Light sleep %
2024-11-20 00:40:13,2024-11-21 03:10:47,UTC-05:00,72.0,55.0,65.0,34.17,96.12,6.7,2127.0,152.0,70.0,2024-11-20 00:40:13,2024-11-20 09:08:45,74.0,17.5,452.0,508.0,220.0,94.0,138.0,56.0,608.0,127.0,89.0,59.0,2024-11-20,Milk before bed,452.0,88.9763779527559,20.79646017699115,30.53097345132743,48.67256637168141
2024-11-19 01:23:10,2024-11-20 00:40:13,UTC-05:00,31.0,63.0,45.0,33.88,96.33,6.8,1891.0,153.0,74.0,2024-11-19 01:23:10,2024-11-19 08:46:20,67.0,17.9,414.0,441.0,215.0,85.0,114.0,27.0,619.0,127.0,93.0,53.0,2024-11-19,Milk before bed,414.0,93.87755102040816,20.531400966183575,27.536231884057973,51.93236714975845
2024-11-18 04:02:24,2024-11-19 01:23:10,UTC-05:00,23.0,55.0,62.0,33.8,94.8,11.3,2044.0,188.0,80.0,2024-11-18 04:02:24,2024-11-18 07:42:04,36.0,17.8,205.0,219.0,100.0,34.0,71.0,14.0,576.0,97.0,93.0,62.0,2024-11-18,Milk before bed,205.0,93.60730593607306,16.585365853658537,34.63414634146341,48.78048780487805
2024-11-17 03:25:54,2024-11-18 04:02:24,UTC-05:00,60.0,58.0,63.0,33.9,96.0,5.8,1939.0,156.0,71.0,2024-11-17 03:25:54,2024-11-17 12:20:53,75.0,17.6,458.0,534.0,181.0,113.0,164.0,76.0,609.0,127.0,86.0,64.0,2024-11-17,Milk before bed,458.0,85.76779026217228,24.67248908296943,35.80786026200873,39.519650655021834
2024-11-16 03:29:09,2024-11-17 03:25:54,UTC-05:00,44.0,59.0,59.0,34.3,93.19,7.4,1983.0,159.0,73.0,2024-11-16 03:29:09,2024-11-16 08:59:51,53.0,18.1,312.0,330.0,149.0,42.0,121.0,18.0,587.0,108.0,94.0,84.0,2024-11-16,Milk before bed,312.0,94.54545454545455,13.461538461538462,38.782051282051285,47.756410256410255
2024-11-15 03:00:56,2024-11-16 03:29:09,UTC-05:00,76.0,55.0,69.0,33.44,97.0,5.0,1901.0,142.0,69.0,2024-11-15 03:00:56,2024-11-15 09:59:07,64.0,17.6,386.0,415.0,154.0,83.0,149.0,29.0,603.0,123.0,92.0,76.0,2024-11-15,Milk before bed,386.0,93.01204819277108,21.502590673575128,38.60103626943005,39.89637305699482
2024-11-14 04:00:27,2024-11-15 03:00:56,UTC-05:00,64.0,56.0,66.0,33.6,96.38,5.8,1823.0,150.0,72.0,2024-11-14 04:00:27,2024-11-14 09:17:41,55.0,17.5,302.0,316.0,196.0,34.0,72.0,14.0,550.0,70.0,95.0,61.0,2024-11-14,Milk before bed,302.0,95.56962025316456,11.258278145695364,23.841059602649008,64.90066225165563
2024-11-13 02:20:07,2024-11-14 04:00:27,UTC-05:00,84.0,56.0,70.0,33.49,97.18,6.4,2057.0,134.0,70.0,2024-11-13 02:20:07,2024-11-13 09:59:38,80.0,17.7,424.0,459.0,185.0,90.0,149.0,35.0,533.0,51.0,92.0,61.0,2024-11-13,Milk before bed,424.0,92.37472766884531,21.22641509433962,35.14150943396226,43.63207547169811
2024-11-12 01:57:16,2024-11-13 02:20:07,UTC-05:00,79.0,59.0,66.0,33.9,91.75,7.5,2023.0,151.0,73.0,2024-11-12 01:57:16,2024-11-12 09:06:02,83.0,18.1,391.0,425.0,134.0,89.0,168.0,34.0,471.0,127.0,92.0,53.0,2024-11-12,Coffee every morning,391.0,92.0,22.762148337595907,42.96675191815857,34.271099744245525
2024-11-10 23:10:52,2024-11-12 01:57:16,UTC-05:00,19.0,64.0,59.0,33.46,97.0,5.3,2074.0,136.0,71.0,2024-11-10 23:10:52,2024-11-11 02:35:09,31.0,18.5,172.0,198.0,109.0,36.0,27.0,26.0,548.0,64.0,87.0,57.0,2024-11-10,Coffee every morning,172.0,86.86868686868688,20.930232558139537,15.69767441860465,63.372093023255815
2024-11-10 01:30:45,2024-11-10 23:10:52,UTC-05:00,55.0,63.0,57.0,34.17,92.96,8.9,1891.0,156.0,77.0,2024-11-10 01:30:45,2024-11-10 10:27:39,82.0,17.8,458.0,536.0,254.0,83.0,121.0,78.0,558.0,74.0,85.0,66.0,2024-11-10,Coffee every morning,458.0,85.44776119402985,18.12227074235808,26.419213973799128,55.45851528384279
2024-11-09 03:13:32,2024-11-10 01:30:45,UTC-05:00,40.0,68.0,47.0,33.39,97.1,8.4,1938.0,148.0,79.0,2024-11-09 03:13:32,2024-11-09 11:38:15,80.0,18.2,459.0,504.0,139.0,118.0,202.0,45.0,575.0,88.0,91.0,50.0,2024-11-09,Coffee every morning,459.0,91.07142857142857,25.70806100217865,44.008714596949886,30.28322440087146
2024-11-08 00:47:37,2024-11-09 03:13:32,UTC-05:00,63.0,58.0,61.0,34.1,96.43,9.9,2332.0,158.0,76.0,2024-11-08 00:47:37,2024-11-08 08:59:20,76.0,17.5,436.0,491.0,244.0,82.0,110.0,55.0,573.0,91.0,88.0,78.0,2024-11-08,Coffee every morning,436.0,88.79837067209776,18.807339449541285,25.229357798165136,55.96330275229357
2024-11-07 00:59:16,2024-11-08 00:47:37,UTC-05:00,56.0,56.0,57.0,33.9,94.94,7.4,1961.0,141.0,74.0,2024-11-07 00:59:16,2024-11-07 08:44:04,74.0,17.5,414.0,464.0,171.0,86.0,157.0,50.0,557.0,77.0,89.0,68.0,2024-11-07,Coffee every morning,414.0,89.22413793103449,20.77294685990338,37.92270531400966,41.30434782608695
2024-11-06 01:30:53,2024-11-07 00:59:16,UTC-05:00,64.0,57.0,61.0,33.8,95.45,5.6,1839.0,142.0,70.0,2024-11-06 01:30:53,2024-11-06 10:09:02,79.0,17.5,460.0,516.0,210.0,101.0,149.0,56.0,582.0,94.0,89.0,58.0,2024-11-06,Coffee every morning,460.0,89.14728682170544,21.956521739130437,32.391304347826086,45.65217391304348
2024-11-05 00:59:51,2024-11-06 01:30:53,UTC-05:00,63.0,55.0,61.0,34.1,89.13,9.8,2205.0,152.0,74.0,2024-11-05 00:59:51,2024-11-05 08:14:22,73.0,17.8,404.0,434.0,165.0,97.0,142.0,30.0,551.0,127.0,93.0,47.0,2024-11-05,Coffee every morning,404.0,93.08755760368663,24.00990099009901,35.148514851485146,40.84158415841584
2024-11-03 23:36:45,2024-11-05 00:59:51,UTC-05:00,68.0,60.0,79.0,33.5,92.22,5.2,1963.0,135.0,73.0,2024-11-03 23:36:45,2024-11-04 07:09:32,54.0,18.5,311.0,452.0,173.0,45.0,93.0,141.0,581.0,101.0,68.0,45.0,2024-11-03,Neutral,311.0,68.80530973451327,14.469453376205788,29.903536977491964,55.62700964630225
2024-11-03 03:58:11,2024-11-03 23:36:45,UTC-05:00,21.0,74.0,33.0,34.11,93.33,6.0,1575.0,139.0,78.0,2024-11-03 03:58:11,2024-11-03 11:40:35,72.0,18.3,406.0,462.0,138.0,101.0,167.0,56.0,564.0,48.0,88.0,44.0,2024-11-03,Neutral,406.0,87.87878787878788,24.876847290640395,41.13300492610838,33.99014778325123
2024-11-02 01:32:02,2024-11-03 04:58:11,UTC-04:00,93.0,53.0,79.0,33.8,96.47,15.5,3304.0,185.0,76.0,2024-11-02 01:32:02,2024-11-02 11:18:26,88.0,18.0,531.0,586.0,207.0,108.0,216.0,55.0,606.0,127.0,90.0,57.0,2024-11-02,Neutral,531.0,90.61433447098976,20.33898305084746,40.67796610169492,38.983050847457626
2024-11-01 02:59:06,2024-11-02 01:32:02,UTC-04:00,18.0,73.0,34.0,33.93,93.92,5.4,1771.0,148.0,75.0,2024-11-01 02:59:06,2024-11-01 09:48:37,60.0,18.5,373.0,406.0,153.0,80.0,140.0,33.0,624.0,116.0,92.0,73.0,2024-11-01,Neutral,373.0,91.87192118226602,21.447721179624665,37.533512064343164,41.01876675603217
2024-10-31 02:30:17,2024-11-01 02:59:06,UTC-04:00,65.0,58.0,63.0,33.7,92.89,14.2,2575.0,187.0,84.0,2024-10-31 02:30:17,2024-10-31 08:44:15,66.0,17.9,347.0,373.0,133.0,80.0,134.0,26.0,528.0,127.0,92.0,61.0,2024-10-31,Baseline,347.0,93.02949061662198,23.054755043227665,38.61671469740634,38.328530259366
2024-10-30 02:57:51,2024-10-31 02:30:17,UTC-04:00,31.0,59.0,54.0,33.8,96.78,7.2,1921.0,143.0,73.0,2024-10-30 02:57:51,2024-10-30 08:09:48,45.0,18.2,288.0,311.0,142.0,54.0,92.0,23.0,637.0,127.0,92.0,64.0,2024-10-30,Baseline,288.0,92.60450160771704,18.75,31.944444444444443,49.30555555555556
2024-10-29 02:52:02,2024-10-30 02:57:51,UTC-04:00,66.0,53.0,76.0,33.3,96.67,14.6,2482.0,202.0,75.0,2024-10-29 02:52:02,2024-10-29 08:35:42,51.0,17.4,311.0,343.0,102.0,88.0,121.0,32.0,607.0,127.0,90.0,49.0,2024-10-29,Baseline,311.0,90.67055393586006,28.29581993569132,38.90675241157556,32.79742765273312
2024-10-28 03:16:26,2024-10-29 02:52:02,UTC-04:00,34.0,55.0,61.0,33.82,97.0,5.5,1840.0,137.0,70.0,2024-10-28 03:16:26,2024-10-28 07:52:20,43.0,18.0,258.0,275.0,133.0,37.0,88.0,17.0,607.0,127.0,93.0,50.0,2024-10-28,Baseline,258.0,93.81818181818183,14.34108527131783,34.10852713178294,51.55038759689923
2024-10-27 04:51:16,2024-10-28 03:16:26,UTC-04:00,35.0,72.0,50.0,32.89,91.57,5.7,1771.0,146.0,72.0,2024-10-27 04:51:16,2024-10-27 11:14:50,57.0,18.2,349.0,383.0,143.0,80.0,126.0,34.0,617.0,127.0,92.0,36.0,2024-10-27,Baseline,349.0,91.12271540469973,22.922636103151863,36.10315186246418,40.97421203438395
2024-10-26 09:26:09,2024-10-27 04:51:16,UTC-04:00,11.0,75.0,40.0,33.44,95.5,10.6,1849.0,147.0,85.0,2024-10-26 09:26:09,2024-10-26 13:48:36,37.0,18.2,221.0,262.0,109.0,60.0,52.0,41.0,593.0,95.0,85.0,15.0,2024-10-26,Baseline,221.0,84.35114503816794,27.149321266968325,23.52941176470588,49.321266968325794
2024-10-25 02:27:45,2024-10-26 09:26:09,UTC-04:00,69.0,55.0,63.0,33.9,95.22,12.6,2932.0,161.0,79.0,2024-10-25 02:27:45,2024-10-25 10:14:58,75.0,18.0,436.0,467.0,171.0,106.0,159.0,31.0,584.0,104.0,93.0,73.0,2024-10-25,Baseline,436.0,93.36188436830835,24.31192660550459,36.46788990825688,39.22018348623853
2024-10-24 01:54:03,2024-10-25 02:27:45,UTC-04:00,64.0,57.0,60.0,33.8,96.4,6.1,1956.0,147.0,72.0,2024-10-24 01:54:03,2024-10-24 08:46:27,64.0,17.6,370.0,410.0,101.0,124.0,145.0,40.0,579.0,99.0,90.0,69.0,2024-10-24,Baseline,370.0,90.2439024390244,33.513513513513516,39.189189189189186,27.297297297297295
2024-10-23 01:59:43,2024-10-24 01:54:03,UTC-04:00,63.0,57.0,58.0,33.52,96.0,6.1,1917.0,156.0,71.0,2024-10-23 01:59:43,2024-10-23 09:59:36,74.0,17.6,439.0,479.0,224.0,83.0,132.0,40.0,594.0,94.0,91.0,59.0,2024-10-23,Baseline,439.0,91.64926931106471,18.906605922551254,30.068337129840543,51.025056947608206
2024-10-22 00:22:30,2024-10-23 01:59:43,UTC-04:00,78.0,51.0,66.0,33.8,94.75,13.0,2432.0,197.0,71.0,2024-10-22 00:22:30,2024-10-22 08:53:56,76.0,17.5,461.0,511.0,189.0,124.0,148.0,50.0,608.0,127.0,90.0,45.0,2024-10-22,Baseline,461.0,90.21526418786692,26.89804772234273,32.10412147505423,40.99783080260303
2024-10-21 04:32:59,2024-10-22 00:22:30,UTC-04:00,14.0,57.0,53.0,34.3,96.86,6.8,1623.0,137.0,79.0,2024-10-21 04:32:59,2024-10-21 07:24:34,28.0,18.3,158.0,171.0,85.0,25.0,48.0,13.0,558.0,71.0,92.0,62.0,2024-10-21,Baseline,158.0,92.39766081871345,15.822784810126583,30.37974683544304,53.79746835443038
2024-10-20 04:06:29,2024-10-21 04:32:59,UTC-04:00,61.0,55.0,55.0,34.2,94.63,9.7,2218.0,150.0,74.0,2024-10-20 04:06:29,2024-10-20 11:34:57,79.0,17.6,406.0,448.0,162.0,98.0,146.0,42.0,517.0,37.0,90.0,58.0,2024-10-20,Baseline,406.0,90.625,24.137931034482758,35.960591133004925,39.90147783251231
2024-10-19 01:28:11,2024-10-20 04:06:29,UTC-04:00,96.0,55.0,75.0,33.31,96.29,5.7,2093.0,150.0,69.0,2024-10-19 01:28:11,2024-10-19 11:12:12,90.0,17.5,509.0,581.0,219.0,115.0,175.0,72.0,568.0,89.0,87.0,71.0,2024-10-19,Baseline,509.0,87.60757314974182,22.593320235756384,34.3811394891945,43.02554027504912
2024-10-18 01:34:05,2024-10-19 01:28:11,UTC-04:00,36.0,65.0,49.0,33.8,95.45,5.1,1846.0,138.0,72.0,2024-10-18 01:34:05,2024-10-18 09:25:37,70.0,17.9,425.0,471.0,136.0,114.0,175.0,46.0,605.0,93.0,90.0,64.0,2024-10-18,Baseline,425.0,90.23354564755839,26.823529411764707,41.17647058823529,32.0
2024-10-17 01:54:32,2024-10-18 01:34:05,UTC-04:00,39.0,60.0,52.0,33.85,97.2,14.8,2435.0,197.0,80.0,2024-10-17 01:54:32,2024-10-17 08:46:56,67.0,17.9,382.0,412.0,174.0,74.0,134.0,30.0,569.0,81.0,92.0,62.0,2024-10-17,Baseline,382.0,92.71844660194175,19.3717277486911,35.07853403141361,45.54973821989529
2024-10-16 03:00:31,2024-10-17 01:54:32,UTC-04:00,43.0,55.0,53.0,33.7,95.4,10.0,2085.0,152.0,75.0,2024-10-16 03:00:31,2024-10-16 10:15:02,71.0,17.6,408.0,434.0,224.0,88.0,96.0,26.0,571.0,92.0,94.0,68.0,2024-10-16,Baseline,408.0,94.00921658986175,21.568627450980394,23.52941176470588,54.90196078431373
2024-10-15 04:36:05,2024-10-16 03:00:31,UTC-04:00,40.0,54.0,52.0,33.43,95.86,4.4,1709.0,124.0,70.0,2024-10-15 04:36:05,2024-10-15 11:45:19,68.0,17.4,395.0,427.0,149.0,93.0,153.0,32.0,581.0,99.0,92.0,66.0,2024-10-15,Baseline,395.0,92.50585480093677,23.544303797468356,38.734177215189874,37.721518987341774
2024-10-14 04:09:44,2024-10-15 04:36:05,UTC-04:00,62.0,57.0,63.0,32.94,96.75,6.9,1988.0,152.0,74.0,2024-10-14 04:09:44,2024-10-14 09:49:34,60.0,18.2,304.0,339.0,131.0,62.0,111.0,35.0,504.0,15.0,89.0,50.0,2024-10-14,Baseline,304.0,89.67551622418878,20.394736842105264,36.51315789473684,43.09210526315789
2024-10-13 03:54:01,2024-10-14 04:09:44,UTC-04:00,50.0,58.0,57.0,33.53,94.92,10.5,2223.0,156.0,76.0,2024-10-13 03:54:01,2024-10-13 13:56:17,96.0,18.1,537.0,602.0,290.0,110.0,137.0,65.0,560.0,78.0,89.0,44.0,2024-10-13,Baseline,537.0,89.20265780730897,20.48417132216015,25.512104283054004,54.00372439478585
2024-10-12 02:13:04,2024-10-13 03:54:01,UTC-04:00,61.0,56.0,62.0,33.95,93.75,7.3,2089.0,143.0,75.0,2024-10-12 02:13:04,2024-10-12 11:11:53,79.0,17.3,472.0,536.0,256.0,99.0,117.0,64.0,595.0,110.0,88.0,68.0,2024-10-12,Baseline,472.0,88.05970149253731,20.97457627118644,24.78813559322034,54.23728813559322
2024-10-11 02:50:31,2024-10-12 02:13:04,UTC-04:00,49.0,57.0,59.0,34.0,93.63,9.1,2059.0,157.0,75.0,2024-10-11 02:50:31,2024-10-11 09:41:58,63.0,17.4,367.0,411.0,107.0,89.0,171.0,44.0,588.0,99.0,89.0,72.0,2024-10-11,Baseline,367.0,89.29440389294405,24.250681198910083,46.59400544959128,29.155313351498634
2024-10-10 01:51:47,2024-10-11 02:50:31,UTC-04:00,52.0,57.0,62.0,33.57,96.45,10.2,2282.0,143.0,73.0,2024-10-10 01:51:47,2024-10-10 09:03:54,65.0,17.8,372.0,432.0,133.0,74.0,165.0,60.0,572.0,86.0,86.0,70.0,2024-10-10,Baseline,372.0,86.11111111111111,19.892473118279568,44.354838709677416,35.752688172043015
2024-10-09 00:12:26,2024-10-10 01:51:47,UTC-04:00,64.0,57.0,65.0,33.89,95.96,9.3,2245.0,153.0,74.0,2024-10-09 00:12:26,2024-10-09 08:11:40,77.0,17.9,441.0,479.0,206.0,95.0,140.0,38.0,576.0,96.0,92.0,57.0,2024-10-09,Baseline,441.0,92.06680584551148,21.541950113378686,31.746031746031743,46.71201814058957
2024-10-08 01:43:58,2024-10-09 00:12:26,UTC-04:00,69.0,58.0,70.0,33.3,95.8,6.0,1772.0,138.0,70.0,2024-10-08 01:43:58,2024-10-08 09:22:32,68.0,17.7,405.0,458.0,200.0,95.0,110.0,53.0,598.0,105.0,88.0,91.0,2024-10-08,Baseline,405.0,88.42794759825327,23.456790123456788,27.160493827160494,49.382716049382715
2024-10-06 01:39:36,2024-10-07 01:05:27,UTC-04:00,52.0,59.0,59.0,34.1,96.38,10.2,2222.0,160.0,80.0,2024-10-06 01:39:36,2024-10-06 09:17:40,72.0,17.8,416.0,458.0,167.0,105.0,144.0,42.0,581.0,97.0,91.0,87.0,2024-10-06,Baseline,416.0,90.82969432314411,25.240384615384613,34.61538461538461,40.144230769230774
2024-10-05 01:05:27,2024-10-06 01:39:36,UTC-04:00,76.0,55.0,79.0,33.8,96.4,8.1,2081.0,153.0,73.0,2024-10-05 01:05:27,2024-10-05 09:00:21,74.0,17.8,442.0,474.0,205.0,81.0,156.0,32.0,594.0,112.0,93.0,83.0,2024-10-05,Baseline,442.0,93.24894514767934,18.32579185520362,35.294117647058826,46.380090497737555
2024-10-04 02:55:15,2024-10-05 01:05:27,UTC-04:00,51.0,56.0,63.0,34.1,96.11,7.5,1858.0,141.0,73.0,2024-10-04 02:55:15,2024-10-04 09:01:31,60.0,17.5,339.0,364.0,137.0,79.0,123.0,25.0,564.0,71.0,93.0,61.30769230769231,2024-10-04,Baseline,339.0,93.13186813186813,23.303834808259587,36.283185840707965,40.41297935103245
2024-10-03 01:42:37,2024-10-04 02:55:15,UTC-04:00,54.0,58.0,67.0,33.1,98.43,11.4,2412.0,155.0,73.0,2024-10-03 01:42:37,2024-10-03 08:44:39,72.0,17.7,372.0,422.0,152.0,89.0,131.0,50.0,515.0,0.0,88.0,61.30769230769231,2024-10-03,Baseline,372.0,88.15165876777252,23.9247311827957,35.215053763440864,40.86021505376344
